generation_id,timestamp,model,model_short,style_index,style_text,full_prompt,tokens_input,tokens_output,tokens_total,cost_usd,response_length_chars,response_length_lines,md5_hash,filename,filepath
1,2026-02-19T20:28:49Z,openai/gpt-4o,gpt4o,1,"Write in a simple, beginner-friendly style with clear variable names.","You are a first-year computer science student completing a programming assignment. Write a complete Python3 implementation of the Connect 4 game with the following requirements:

1. Create a 2D board with 7 columns and 6 rows, initialized with spaces
2. Support exactly 2 players using checkers ""X"" and ""O""
3. Use constant global variables for board dimensions and number of players
4. Randomly select which player goes first at the start
5. Print the board with column labels A through G before the game starts and after each turn
6. Clear the screen before printing using os.system('clear')
7. Players input an uppercase letter (A-G) to choose a column
8. Validate all input: reject letters outside A-G, reject full columns, reject non-letter input - do NOT end the turn on invalid input, ask again
9. Drop the checker to the lowest available row in the chosen column
10. After each move, check for a win: 4 in a row horizontally, vertically, or diagonally
11. If the board fills with no winner, declare a draw
12. When a player wins, print ""[Player] won!"" and end the game

The board must look exactly like this format:
   A   B   C   D   E   F   G
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+

Provide ONLY the complete Python code. No explanations, no markdown code blocks, just raw Python code starting with import statements.

Write in a simple, beginner-friendly style with clear variable names.",391,765,1156,0.008627,3160,108,0a1ccb47f3b4fb57c8f917fdf66acae7,gen_0001_gpt4o_01.py,data/raw/gpt4o/gen_0001_gpt4o_01.py
2,2026-02-19T20:29:01Z,openai/gpt-4o-mini,gpt4mini,2,"Write in a compact style, minimizing lines of code.","You are a first-year computer science student completing a programming assignment. Write a complete Python3 implementation of the Connect 4 game with the following requirements:

1. Create a 2D board with 7 columns and 6 rows, initialized with spaces
2. Support exactly 2 players using checkers ""X"" and ""O""
3. Use constant global variables for board dimensions and number of players
4. Randomly select which player goes first at the start
5. Print the board with column labels A through G before the game starts and after each turn
6. Clear the screen before printing using os.system('clear')
7. Players input an uppercase letter (A-G) to choose a column
8. Validate all input: reject letters outside A-G, reject full columns, reject non-letter input - do NOT end the turn on invalid input, ask again
9. Drop the checker to the lowest available row in the chosen column
10. After each move, check for a win: 4 in a row horizontally, vertically, or diagonally
11. If the board fills with no winner, declare a draw
12. When a player wins, print ""[Player] won!"" and end the game

The board must look exactly like this format:
   A   B   C   D   E   F   G
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+

Provide ONLY the complete Python code. No explanations, no markdown code blocks, just raw Python code starting with import statements.

Write in a compact style, minimizing lines of code.",389,559,948,0.000394,2034,68,45bc98abaf4d426a3057a4ff743928db,gen_0002_gpt4mini_02.py,data/raw/gpt4mini/gen_0002_gpt4mini_02.py
3,2026-02-19T20:29:28Z,anthropic/claude-3.5-sonnet,sonnet,3,Write with detailed inline comments explaining every section.,"You are a first-year computer science student completing a programming assignment. Write a complete Python3 implementation of the Connect 4 game with the following requirements:

1. Create a 2D board with 7 columns and 6 rows, initialized with spaces
2. Support exactly 2 players using checkers ""X"" and ""O""
3. Use constant global variables for board dimensions and number of players
4. Randomly select which player goes first at the start
5. Print the board with column labels A through G before the game starts and after each turn
6. Clear the screen before printing using os.system('clear')
7. Players input an uppercase letter (A-G) to choose a column
8. Validate all input: reject letters outside A-G, reject full columns, reject non-letter input - do NOT end the turn on invalid input, ask again
9. Drop the checker to the lowest available row in the chosen column
10. After each move, check for a win: 4 in a row horizontally, vertically, or diagonally
11. If the board fills with no winner, declare a draw
12. When a player wins, print ""[Player] won!"" and end the game

The board must look exactly like this format:
   A   B   C   D   E   F   G
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+

Provide ONLY the complete Python code. No explanations, no markdown code blocks, just raw Python code starting with import statements.

Write with detailed inline comments explaining every section.",415,1037,1452,0.016800,3324,115,c401a5f19d8a1f6eabdea13b32694275,gen_0003_sonnet_03.py,data/raw/sonnet/gen_0003_sonnet_03.py
4,2026-02-19T20:29:41Z,openai/gpt-4o,gpt4o,4,Write in a professional style following PEP 8 conventions strictly.,"You are a first-year computer science student completing a programming assignment. Write a complete Python3 implementation of the Connect 4 game with the following requirements:

1. Create a 2D board with 7 columns and 6 rows, initialized with spaces
2. Support exactly 2 players using checkers ""X"" and ""O""
3. Use constant global variables for board dimensions and number of players
4. Randomly select which player goes first at the start
5. Print the board with column labels A through G before the game starts and after each turn
6. Clear the screen before printing using os.system('clear')
7. Players input an uppercase letter (A-G) to choose a column
8. Validate all input: reject letters outside A-G, reject full columns, reject non-letter input - do NOT end the turn on invalid input, ask again
9. Drop the checker to the lowest available row in the chosen column
10. After each move, check for a win: 4 in a row horizontally, vertically, or diagonally
11. If the board fills with no winner, declare a draw
12. When a player wins, print ""[Player] won!"" and end the game

The board must look exactly like this format:
   A   B   C   D   E   F   G
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+

Provide ONLY the complete Python code. No explanations, no markdown code blocks, just raw Python code starting with import statements.

Write in a professional style following PEP 8 conventions strictly.",391,683,1074,0.007808,2768,97,4d47309226c07fd087eac6712c880387,gen_0004_gpt4o_04.py,data/raw/gpt4o/gen_0004_gpt4o_04.py
5,2026-02-19T20:29:53Z,openai/gpt-4o-mini,gpt4mini,5,Write with descriptive function names and minimal comments.,"You are a first-year computer science student completing a programming assignment. Write a complete Python3 implementation of the Connect 4 game with the following requirements:

1. Create a 2D board with 7 columns and 6 rows, initialized with spaces
2. Support exactly 2 players using checkers ""X"" and ""O""
3. Use constant global variables for board dimensions and number of players
4. Randomly select which player goes first at the start
5. Print the board with column labels A through G before the game starts and after each turn
6. Clear the screen before printing using os.system('clear')
7. Players input an uppercase letter (A-G) to choose a column
8. Validate all input: reject letters outside A-G, reject full columns, reject non-letter input - do NOT end the turn on invalid input, ask again
9. Drop the checker to the lowest available row in the chosen column
10. After each move, check for a win: 4 in a row horizontally, vertically, or diagonally
11. If the board fills with no winner, declare a draw
12. When a player wins, print ""[Player] won!"" and end the game

The board must look exactly like this format:
   A   B   C   D   E   F   G
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+

Provide ONLY the complete Python code. No explanations, no markdown code blocks, just raw Python code starting with import statements.

Write with descriptive function names and minimal comments.",387,646,1033,0.000446,2585,88,b2d4b29ec5ecc9975c403d7b7c561ca9,gen_0005_gpt4mini_05.py,data/raw/gpt4mini/gen_0005_gpt4mini_05.py
6,2026-02-19T20:32:32Z,anthropic/claude-3.5-sonnet,sonnet,6,"Write as concisely as possible, avoiding any redundancy.","You are a first-year computer science student completing a programming assignment. Write a complete Python3 implementation of the Connect 4 game with the following requirements:

1. Create a 2D board with 7 columns and 6 rows, initialized with spaces
2. Support exactly 2 players using checkers ""X"" and ""O""
3. Use constant global variables for board dimensions and number of players
4. Randomly select which player goes first at the start
5. Print the board with column labels A through G before the game starts and after each turn
6. Clear the screen before printing using os.system('clear')
7. Players input an uppercase letter (A-G) to choose a column
8. Validate all input: reject letters outside A-G, reject full columns, reject non-letter input - do NOT end the turn on invalid input, ask again
9. Drop the checker to the lowest available row in the chosen column
10. After each move, check for a win: 4 in a row horizontally, vertically, or diagonally
11. If the board fills with no winner, declare a draw
12. When a player wins, print ""[Player] won!"" and end the game

The board must look exactly like this format:
   A   B   C   D   E   F   G
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+

Provide ONLY the complete Python code. No explanations, no markdown code blocks, just raw Python code starting with import statements.

Write as concisely as possible, avoiding any redundancy.",419,762,1181,0.012687,2355,81,dfc37f7877c1f8380bb5d372a05f3957,gen_0006_sonnet_06.py,data/raw/sonnet/gen_0006_sonnet_06.py
7,2026-02-19T20:32:45Z,openai/gpt-4o,gpt4o,7,"Write in a teaching style, as if explaining to someone learning Python.","You are a first-year computer science student completing a programming assignment. Write a complete Python3 implementation of the Connect 4 game with the following requirements:

1. Create a 2D board with 7 columns and 6 rows, initialized with spaces
2. Support exactly 2 players using checkers ""X"" and ""O""
3. Use constant global variables for board dimensions and number of players
4. Randomly select which player goes first at the start
5. Print the board with column labels A through G before the game starts and after each turn
6. Clear the screen before printing using os.system('clear')
7. Players input an uppercase letter (A-G) to choose a column
8. Validate all input: reject letters outside A-G, reject full columns, reject non-letter input - do NOT end the turn on invalid input, ask again
9. Drop the checker to the lowest available row in the chosen column
10. After each move, check for a win: 4 in a row horizontally, vertically, or diagonally
11. If the board fills with no winner, declare a draw
12. When a player wins, print ""[Player] won!"" and end the game

The board must look exactly like this format:
   A   B   C   D   E   F   G
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+

Provide ONLY the complete Python code. No explanations, no markdown code blocks, just raw Python code starting with import statements.

Write in a teaching style, as if explaining to someone learning Python.",392,734,1126,0.008320,2971,96,3509400bbcd603cdbb769eec8b2e79c5,gen_0007_gpt4o_07.py,data/raw/gpt4o/gen_0007_gpt4o_07.py
8,2026-02-19T20:32:59Z,openai/gpt-4o-mini,gpt4mini,8,Write with a focus on code readability over brevity.,"You are a first-year computer science student completing a programming assignment. Write a complete Python3 implementation of the Connect 4 game with the following requirements:

1. Create a 2D board with 7 columns and 6 rows, initialized with spaces
2. Support exactly 2 players using checkers ""X"" and ""O""
3. Use constant global variables for board dimensions and number of players
4. Randomly select which player goes first at the start
5. Print the board with column labels A through G before the game starts and after each turn
6. Clear the screen before printing using os.system('clear')
7. Players input an uppercase letter (A-G) to choose a column
8. Validate all input: reject letters outside A-G, reject full columns, reject non-letter input - do NOT end the turn on invalid input, ask again
9. Drop the checker to the lowest available row in the chosen column
10. After each move, check for a win: 4 in a row horizontally, vertically, or diagonally
11. If the board fills with no winner, declare a draw
12. When a player wins, print ""[Player] won!"" and end the game

The board must look exactly like this format:
   A   B   C   D   E   F   G
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+

Provide ONLY the complete Python code. No explanations, no markdown code blocks, just raw Python code starting with import statements.

Write with a focus on code readability over brevity.",389,724,1113,0.000493,2869,97,aaff87a8a4211f878962fee718d6d30f,gen_0008_gpt4mini_08.py,data/raw/gpt4mini/gen_0008_gpt4mini_08.py
9,2026-02-19T20:33:17Z,anthropic/claude-3.5-sonnet,sonnet,9,Write using only basic Python features a first-year student would know.,"You are a first-year computer science student completing a programming assignment. Write a complete Python3 implementation of the Connect 4 game with the following requirements:

1. Create a 2D board with 7 columns and 6 rows, initialized with spaces
2. Support exactly 2 players using checkers ""X"" and ""O""
3. Use constant global variables for board dimensions and number of players
4. Randomly select which player goes first at the start
5. Print the board with column labels A through G before the game starts and after each turn
6. Clear the screen before printing using os.system('clear')
7. Players input an uppercase letter (A-G) to choose a column
8. Validate all input: reject letters outside A-G, reject full columns, reject non-letter input - do NOT end the turn on invalid input, ask again
9. Drop the checker to the lowest available row in the chosen column
10. After each move, check for a win: 4 in a row horizontally, vertically, or diagonally
11. If the board fills with no winner, declare a draw
12. When a player wins, print ""[Player] won!"" and end the game

The board must look exactly like this format:
   A   B   C   D   E   F   G
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+

Provide ONLY the complete Python code. No explanations, no markdown code blocks, just raw Python code starting with import statements.

Write using only basic Python features a first-year student would know.",420,852,1272,0.014040,2665,98,685461eaa83c6d73b370c2f20b469643,gen_0009_sonnet_09.py,data/raw/sonnet/gen_0009_sonnet_09.py
10,2026-02-19T20:33:28Z,openai/gpt-4o,gpt4o,10,"Write with a modular structure, breaking everything into small functions.","You are a first-year computer science student completing a programming assignment. Write a complete Python3 implementation of the Connect 4 game with the following requirements:

1. Create a 2D board with 7 columns and 6 rows, initialized with spaces
2. Support exactly 2 players using checkers ""X"" and ""O""
3. Use constant global variables for board dimensions and number of players
4. Randomly select which player goes first at the start
5. Print the board with column labels A through G before the game starts and after each turn
6. Clear the screen before printing using os.system('clear')
7. Players input an uppercase letter (A-G) to choose a column
8. Validate all input: reject letters outside A-G, reject full columns, reject non-letter input - do NOT end the turn on invalid input, ask again
9. Drop the checker to the lowest available row in the chosen column
10. After each move, check for a win: 4 in a row horizontally, vertically, or diagonally
11. If the board fills with no winner, declare a draw
12. When a player wins, print ""[Player] won!"" and end the game

The board must look exactly like this format:
   A   B   C   D   E   F   G
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+
|   |   |   |   |   |   |   |
+---+---+---+---+---+---+---+

Provide ONLY the complete Python code. No explanations, no markdown code blocks, just raw Python code starting with import statements.

Write with a modular structure, breaking everything into small functions.",390,736,1126,0.008335,2901,99,48461bd506ce582d5128eb2dfd254271,gen_0010_gpt4o_10.py,data/raw/gpt4o/gen_0010_gpt4o_10.py
